Date,Clicks,Impressions,CTR,Position
2026-03-12,4,87,4.6%,27.9
2026-03-13,4,90,4.44%,30.2
2026-03-14,5,103,4.85%,21.9
2026-03-15,3,137,2.19%,25.9
2026-03-16,9,95,9.47%,25.8
2026-03-17,12,126,9.52%,35.9
2026-03-18,2,73,2.74%,33.5
2026-03-19,4,79,5.06%,34.3
2026-03-20,8,163,4.91%,36.4
2026-03-21,2,122,1.64%,32.2
2026-03-22,4,99,4.04%,33.9
2026-03-23,0,102,0%,24.7
2026-03-24,7,105,6.67%,24.4
2026-03-25,3,99,3.03%,28.6
2026-03-26,8,121,6.61%,31.1
2026-03-27,8,136,5.88%,44.3
2026-03-28,5,159,3.14%,48.4
2026-03-29,4,86,4.65%,35.7
2026-03-30,4,118,3.39%,37.4
2026-03-31,9,114,7.89%,38.8
2026-04-01,4,97,4.12%,25.5
2026-04-02,3,115,2.61%,35.6
2026-04-03,6,107,5.61%,27.7
2026-04-04,5,102,4.9%,22.8
2026-04-05,8,120,6.67%,28.4
2026-04-06,2,97,2.06%,29.1
2026-04-07,2,139,1.44%,22
2026-04-08,7,118,5.93%,28.9
2026-04-09,4,97,4.12%,55.8
2026-04-10,0,60,0%,56
2026-04-11,3,70,4.29%,41
2026-04-12,2,74,2.7%,41.5
2026-04-13,4,68,5.88%,44.1
2026-04-14,1,73,1.37%,43.5
2026-04-15,3,66,4.55%,38.4
2026-04-16,5,119,4.2%,47.8
2026-04-17,2,117,1.71%,53.2
2026-04-18,4,133,3.01%,54.6
2026-04-19,2,128,1.56%,50.1
2026-04-20,6,150,4%,44.6
2026-04-21,5,226,2.21%,39.7
2026-04-22,8,247,3.24%,30.8
2026-04-23,12,261,4.6%,31.9
2026-04-24,14,218,6.42%,23.9
2026-04-25,6,201,2.99%,28.1
2026-04-26,13,253,5.14%,25.6
2026-04-27,16,328,4.88%,27.6
2026-04-28,10,307,3.26%,20.6
2026-04-29,10,364,2.75%,21.1
2026-04-30,23,358,6.42%,18.8
2026-05-01,15,372,4.03%,21.5
2026-05-02,32,434,7.37%,17.3
2026-05-03,31,535,5.79%,18.7
2026-05-04,35,662,5.29%,15.1
2026-05-05,46,849,5.42%,13.8
2026-05-06,48,1000,4.8%,16.6
2026-05-07,67,1051,6.37%,14
2026-05-08,37,981,3.77%,15.4
2026-05-09,50,902,5.54%,14.4
2026-05-10,55,918,5.99%,17
2026-05-11,68,1130,6.02%,14.8
2026-05-12,45,1168,3.85%,15.2
2026-05-13,55,1146,4.8%,15.6
2026-05-14,55,1264,4.35%,16.8
2026-05-15,59,1407,4.19%,21.4
2026-05-16,47,1277,3.68%,18.4
2026-05-17,81,1367,5.93%,19.6
2026-05-18,92,1579,5.83%,26.2
2026-05-19,65,1213,5.36%,29.3
2026-05-20,54,1144,4.72%,29.5
2026-05-21,72,1102,6.53%,21.9
2026-05-22,98,1183,8.28%,23.8
2026-05-23,90,1475,6.1%,19.3
2026-05-24,82,1832,4.48%,17.4
2026-05-25,95,1976,4.81%,17.2
2026-05-26,87,1948,4.47%,19.2
2026-05-27,60,1953,3.07%,23
2026-05-28,103,2215,4.65%,18.3
2026-05-29,103,2235,4.61%,20.5
2026-05-30,83,1982,4.19%,18.8
2026-05-31,99,2273,4.36%,18.6
2026-06-01,85,2357,3.61%,17.5
2026-06-02,126,2330,5.41%,15.1
2026-06-03,91,2094,4.35%,15.4
2026-06-04,94,2000,4.7%,15.9
2026-06-05,127,2158,5.89%,16.5
2026-06-06,120,2288,5.24%,16.4
2026-06-07,108,2471,4.37%,15.7
2026-06-08,109,2391,4.56%,26.9
2026-06-09,111,1990,5.58%,25
2026-06-10,85,1813,4.69%,25.4
2026-06-11,95,1642,5.79%,25.4